munic;mcirc;Regiao
Rio de Janeiro;3304557;Capital
Seropédica;3305554;Baixada Fluminense
Itaguaí;3302007;Baixada Fluminense
Paracambi;3303609;Baixada Fluminense
Nova Iguaçu;3303500;Baixada Fluminense
Mesquita;3302858;Baixada Fluminense
Belford Roxo;3300456;Baixada Fluminense
"Queimados;Japeri";9999981;Baixada Fluminense
Nilópolis;3303203;Baixada Fluminense
Duque de Caxias;3301702;Baixada Fluminense
São João de Meriti;3305109;Baixada Fluminense
"Magé;Guapimirim";9999982;Baixada Fluminense
Magé;3302502;Baixada Fluminense
"Itaboraí;Tanguá";9999983;Interior
São Gonçalo;3304904;Grande Niterói
Niterói;3303302;Grande Niterói
Maricá;3302700;Grande Niterói
Barra do Pirai;3300308;Interior
Resende;3304201;Interior
Barra Mansa;3300407;Interior
Valença;3306107;Interior
Rio das Flores;3304508;Interior
Volta Redonda;3306305;Interior
"Piraí;Pinheiral";9999988;Interior
Vassouras;3306206;Interior
"Miguel Pereira;Paty dos Alferes";9999999;Interior
Mendes;3302809;Interior
Engenheiro Paulo de Frontin;3301801;Interior
Itatiaia;3302254;Interior
"Porto Real;Quatis";9999992;Interior
São José do Vale do Rio Preto;3305158;Interior
Petrópolis;3303906;Interior
Paraíba do Sul;3303708;Interior
"Comendador Levy Gasparian;Areal;Três Rios";9999991;Interior
Sapucaia;3305406;Interior
Teresópolis;3305802;Interior
Sumidouro;3305703;Interior
Carmo;3301207;Interior
Araruama;3300209;Interior
Rio Bonito;3304300;Interior
Silva Jardim;3305604;Interior
Casimiro de Abreu;3301306;Interior
Conceição de Macabú;3301405;Interior
"Macaé;Quissamã;Carapebus";9999984;Interior
Saquarema;3305505;Interior
São Pedro da Aldeia;3305208;Interior
"Cabo Frio;Arraial do Cabo";9999985;Interior
Armação dos Búzios;3300233;Interior
Rio das Ostras;3304524;Interior
Iguaba Grande;3301876;Interior
Campos dos Goytacazes;3301009;Interior
Itaocara;3302106;Interior
"Santo Antônio de Pádua;Aperibé";9999993;Interior
Miracema;3303005;Interior
Laje do Muriaé;3302304;Interior
Porciúncula;3304102;Interior
"Natividade;Varre-Sai";9999997;Interior
São Fidélis;3304805;Interior
Cambuci;3300902;Interior
"Itaperuna;São José de Ubá;Cardoso Moreira;Italva";9999986;Interior
Bom Jesus de Itabapoana;3300605;Interior
São João da Barra;3305000;Interior
"Campos dos Goytacazes;São Francisco de Itabapoana";9999987;Interior
Nova Friburgo;3303401;Interior
Duas Barras;3301603;Interior
Cantagalo;3301108;Interior
"Cordeiro;Macuco";9999998;Interior
São Sebastião do Alto;3305307;Interior
Santa Maria Madalena;3304607;Interior
Trajano de Morais;3305901;Interior
Bom Jardim;3300506;Interior
Cachoeiras de Macacu;3300803;Interior
Mangaratiba;3302601;Interior
Angra dos Reis;3300100;Interior
Paraty;3303807;Interior
Rio Claro;3304409;Interior
São Francisco de Itabapoana;3304755;Interior
Queimados;3304144;Baixada Fluminense
Japeri;3302270;Baixada Fluminense
Piraí;3304003;Interior
Pinheiral;3303955;Interior
"Itaperuna;São José de Ubá";9999996;Interior
Macaé;3302403;Interior
"Quissamã;Carapebus";9999994;Interior
"Cardoso Moreira;Italva";9999995;Interior
Guapimirim;3301850;Baixada Fluminense
Tanguá;3305752;Interior
Itaboraí;3301900;Interior
Cabo Frio;3300704;Interior
Arraial do Cabo;3300258;Interior
Rio de Janeiro                                   ;3304557;Capital           
Seropédica                                       ;3305554;Baixada Fluminense
Itaguaí                                          ;3302007;Baixada Fluminense
Paracambi                                        ;3303609;Baixada Fluminense
Nova Iguaçu                                      ;3303500;Baixada Fluminense
Mesquita                                         ;3302858;Baixada Fluminense
Belford Roxo                                     ;3300456;Baixada Fluminense
Queimados                                        ;3304144;Baixada Fluminense
Nilópolis                                        ;3303203;Baixada Fluminense
Duque de Caxias                                  ;3301702;Baixada Fluminense
Japeri                                           ;3302270;Baixada Fluminense
São João de Meriti                               ;3305109;Baixada Fluminense
Magé                                             ;3302502;Baixada Fluminense
Guapimirim                                       ;3301850;Baixada Fluminense
Tanguá                                           ;3305752;Interior          
Itaboraí                                         ;3301900;Interior          
São Gonçalo                                      ;3304904;Grande Niterói    
Niterói                                          ;3303302;Grande Niterói    
Maricá                                           ;3302700;Grande Niterói    
Barra do Pirai                                   ;3300308;Interior          
Resende                                          ;3304201;Interior          
Barra Mansa                                      ;3300407;Interior          
Valença                                          ;3306107;Interior          
Rio das Flores                                   ;3304508;Interior          
Volta Redonda                                    ;3306305;Interior          
Piraí                                            ;3304003;Interior          
Vassouras                                        ;3306206;Interior          
"Miguel Pereira;Paty dos Alferes                  ";9999999;Interior          
Mendes                                           ;3302809;Interior          
Engenheiro Paulo de Frontin                      ;3301801;Interior          
Itatiaia                                         ;3302254;Interior          
"Porto Real;Quatis                                ";9999992;Interior          
Pinheiral                                        ;3303955;Interior          
São José do Vale do Rio Preto                    ;3305158;Interior          
Petrópolis                                       ;3303906;Interior          
Paraíba do Sul                                   ;3303708;Interior          
"Comendador Levy Gasparian;Areal;Três Rios        ";9999991;Interior          
Sapucaia                                         ;3305406;Interior          
Teresópolis                                      ;3305802;Interior          
Sumidouro                                        ;3305703;Interior          
Carmo                                            ;3301207;Interior          
Araruama                                         ;3300209;Interior          
Rio Bonito                                       ;3304300;Interior          
Silva Jardim                                     ;3305604;Interior          
Casimiro de Abreu                                ;3301306;Interior          
Conceição de Macabú                              ;3301405;Interior          
Macaé                                            ;3302403;Interior          
Saquarema                                        ;3305505;Interior          
São Pedro da Aldeia                              ;3305208;Interior          
Cabo Frio                                        ;3300704;Interior          
Armação dos Búzios                               ;3300233;Interior          
Rio das Ostras                                   ;3304524;Interior          
Iguaba Grande                                    ;3301876;Interior          
"Quissamã;Carapebus                               ";9999994;Interior          
Arraial do Cabo                                  ;3300258;Interior          
Campos dos Goytacazes                            ;3301009;Interior          
Itaocara                                         ;3302106;Interior          
"Santo Antônio de Pádua;Aperibé                   ";9999993;Interior          
Miracema                                         ;3303005;Interior          
Laje do Muriaé                                   ;3302304;Interior          
Porciúncula                                      ;3304102;Interior          
"Natividade;Varre-Sai                             ";9999997;Interior          
São Fidélis                                      ;3304805;Interior          
Cambuci                                          ;3300902;Interior          
"Itaperuna;São José de Ubá                        ";9999996;Interior          
Bom Jesus de Itabapoana                          ;3300605;Interior          
São João da Barra                                ;3305000;Interior          
São Francisco de Itabapoana                      ;3304755;Interior          
"Cardoso Moreira;Italva                           ";9999995;Interior          
Nova Friburgo                                    ;3303401;Interior          
Duas Barras                                      ;3301603;Interior          
Cantagalo                                        ;3301108;Interior          
"Cordeiro;Macuco                                  ";9999998;Interior          
São Sebastião do Alto                            ;3305307;Interior          
Santa Maria Madalena                             ;3304607;Interior          
Trajano de Morais                                ;3305901;Interior          
Bom Jardim                                       ;3300506;Interior          
Cachoeiras de Macacu                             ;3300803;Interior          
Mangaratiba                                      ;3302601;Interior          
Angra dos Reis                                   ;3300100;Interior          
Paraty                                           ;3303807;Interior          
Rio Claro                                        ;3304409;Interior          
